Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
58201.0,914.964,362.844,204.2308,1.7766,0.826551,58802.0,272.2204,0.825192,0.98978,0.873641,0.750241,0.0062343,0.0035091,0.562861,0.742573,HOROZ
49155.0,835.643,323.0254,193.7511,1.6672,0.800149,49472.0,250.173,0.620571,0.993592,0.884583,0.774468,0.0065715,0.0039416,0.599801,0.769505,SIRA
57731.0,872.476,322.618,227.8395,1.416,0.707992,58494.0,271.1183,0.723285,0.986951,0.953039,0.840369,0.0055883,0.0039466,0.706221,0.829403,BARBUNYA
82031.0,1068.532,432.3598,241.5697,1.7898,0.829354,82474.0,323.1796,0.679729,0.994625,0.902844,0.747478,0.0052707,0.0029449,0.558724,0.743461,CALI
48315.0,802.725,312.8509,196.6315,1.5911,0.777797,49039.0,248.0249,0.724474,0.985238,0.942229,0.792789,0.0064753,0.0040698,0.628515,0.781086,SIRA
33883.0,699.17,265.4579,162.5145,1.6334,0.790699,34197.0,207.7035,0.769214,0.990808,0.871008,0.782435,0.0078346,0.0047964,0.612204,0.775243,DERMASON
45771.0,777.88,308.4088,188.9598,1.6321,0.790321,46307.0,241.4061,0.775539,0.988424,0.950541,0.782747,0.0067381,0.0041284,0.612693,0.773686,SIRA
52818.0,856.445,346.6672,193.9899,1.787,0.828773,53457.0,259.3259,0.685753,0.988053,0.904884,0.748054,0.0065634,0.0036728,0.559585,0.739118,SIRA
31851.0,640.254,236.3084,171.6147,1.377,0.68745,32273.0,201.3802,0.741727,0.986919,0.976401,0.852192,0.0074192,0.005388,0.726232,0.841045,SEKER
49521.0,858.584,355.1456,177.5395,2.0004,0.86608,50108.0,251.1023,0.80705,0.988295,0.844181,0.70704,0.0071716,0.0035851,0.499906,0.698765,HOROZ
49230.0,865.097,353.1924,177.4722,1.9901,0.864589,50471.0,250.3634,0.692431,0.975407,0.826631,0.708858,0.0071743,0.0036049,0.50248,0.691426,HOROZ
30974.0,657.081,265.8783,148.3281,1.7925,0.829922,31470.0,198.5881,0.792105,0.984234,0.901504,0.746913,0.0085839,0.0047888,0.55788,0.735138,DERMASON
50881.0,822.651,317.3916,204.1143,1.555,0.765783,51603.0,254.5274,0.779986,0.986007,0.944794,0.801935,0.0062379,0.0040116,0.643099,0.790714,SEKER
44579.0,791.093,302.6614,187.5374,1.6139,0.784896,44808.0,238.2443,0.82884,0.994901,0.895139,0.787164,0.0067893,0.0042068,0.619628,0.783151,SIRA
40117.0,734.203,274.7274,185.9254,1.4776,0.736201,40646.0,226.0062,0.664685,0.986995,0.935208,0.822656,0.0068481,0.0046346,0.676763,0.811957,SEKER
29621.0,632.524,244.3834,154.3232,1.5836,0.775392,29913.0,194.201,0.777575,0.990237,0.930355,0.794657,0.0082505,0.00521,0.63148,0.786899,DERMASON
33312.0,678.573,266.7884,158.98,1.6781,0.803056,33893.0,205.9466,0.798647,0.982861,0.909109,0.771948,0.0080088,0.0047725,0.595903,0.758717,DERMASON
41699.0,770.654,295.958,179.3924,1.6498,0.795357,42255.0,230.4183,0.82504,0.986845,0.882298,0.778551,0.0070975,0.0043021,0.606141,0.768309,SIRA
41388.0,759.664,297.8589,176.9179,1.6836,0.804491,42122.0,229.5574,0.785775,0.982577,0.901237,0.770692,0.0071968,0.0042746,0.593966,0.757264,SIRA
47707.0,871.922,383.4235,158.4219,2.4203,0.910651,48196.0,246.4603,0.821709,0.989856,0.788566,0.642789,0.008037,0.0033207,0.413177,0.636268,HOROZ
42700.0,788.296,315.2295,172.4684,1.8278,0.837054,43157.0,233.1676,0.742055,0.989414,0.863489,0.739676,0.0073825,0.0040391,0.54712,0.731845,SIRA
69487.0,957.271,369.4841,239.4507,1.543,0.761583,70805.0,297.4445,0.742503,0.981379,0.952888,0.805027,0.0053173,0.003446,0.648068,0.790036,BARBUNYA
50682.0,881.23,367.1295,175.7691,2.0887,0.877943,51471.0,254.0276,0.82417,0.984666,0.82013,0.691929,0.0072438,0.0034681,0.478766,0.681319,HOROZ
31948.0,674.901,267.006,152.3474,1.7526,0.821244,32346.0,201.6871,0.775775,0.987695,0.881406,0.755365,0.0083575,0.0047686,0.570577,0.746071,DERMASON
52995.0,909.982,381.755,176.7504,2.1599,0.886361,53655.0,259.7602,0.832104,0.987705,0.804229,0.680437,0.0072036,0.0033352,0.462994,0.672071,HOROZ
41820.0,739.978,253.472,210.0681,1.2066,0.559601,42219.0,230.7517,0.728583,0.990539,0.959736,0.910364,0.0060611,0.0050232,0.828762,0.901751,SEKER
59782.0,942.05,378.8048,200.9411,1.8852,0.847709,60581.0,275.8939,0.781588,0.986816,0.846518,0.728327,0.0063364,0.0033612,0.530461,0.718725,CALI
42329.0,732.074,272.9148,197.4784,1.382,0.69023,42723.0,232.1525,0.814007,0.990773,0.992512,0.850641,0.0064475,0.0046653,0.72359,0.842792,SEKER
69283.0,986.497,405.4425,217.5746,1.8635,0.843815,70215.0,297.0084,0.808494,0.986728,0.894635,0.732554,0.005852,0.0031404,0.536635,0.722831,CALI
33560.0,675.289,260.6591,163.9324,1.59,0.777474,34179.0,206.7135,0.721872,0.9819,0.924822,0.793042,0.0077669,0.0048847,0.628915,0.778687,DERMASON
31500.0,650.675,254.6998,157.4669,1.6175,0.785985,31682.0,200.2668,0.857411,0.99426,0.934953,0.786286,0.0080858,0.004999,0.618245,0.781772,DERMASON
28696.0,619.974,240.3245,152.0292,1.5808,0.774479,29081.0,191.1448,0.66593,0.986749,0.938162,0.795361,0.008375,0.005298,0.632599,0.784821,DERMASON
42645.0,768.625,301.7901,179.9172,1.6774,0.802861,43209.0,233.0176,0.775368,0.986942,0.907086,0.772118,0.0070768,0.004219,0.596167,0.762036,SIRA
40996.0,773.981,302.6488,172.4689,1.7548,0.821738,41729.0,228.4678,0.778134,0.982431,0.85998,0.754894,0.0073824,0.004207,0.569865,0.741631,SIRA
41520.0,735.849,293.8363,179.9146,1.6332,0.790629,41862.0,229.9249,0.67988,0.991832,0.963594,0.782493,0.0070769,0.0043332,0.612295,0.776102,SIRA
40963.0,749.026,300.7491,173.4195,1.7342,0.817009,41696.0,228.3764,0.676254,0.982415,0.917504,0.759358,0.007342,0.0042336,0.576625,0.746005,SIRA
42949.0,767.178,292.795,186.7666,1.5677,0.77014,43577.0,233.8468,0.740538,0.985596,0.917001,0.798671,0.0068173,0.0043486,0.637875,0.787167,SIRA
32961.0,661.483,233.787,179.5119,1.3023,0.640637,33269.0,204.8598,0.778309,0.990735,0.946622,0.876267,0.0070928,0.0054462,0.767844,0.868148,SEKER
35439.0,695.267,274.7429,164.2363,1.6729,0.801659,35849.0,212.4212,0.738611,0.98858,0.921281,0.773163,0.0077525,0.0046343,0.597782,0.764334,DERMASON
50092.0,865.711,360.168,177.0811,2.0339,0.870786,50514.0,252.5449,0.724228,0.991649,0.839908,0.701186,0.0071902,0.0035351,0.491662,0.695331,HOROZ
65926.0,931.39,348.8217,240.6384,1.4496,0.723942,66816.0,289.7238,0.694916,0.98669,0.955002,0.830579,0.0052911,0.0036501,0.689861,0.819524,BARBUNYA
33969.0,666.611,244.6465,176.7868,1.3839,0.691244,34336.0,207.967,0.782873,0.989316,0.960603,0.850071,0.0072021,0.0052044,0.722621,0.840989,DERMASON
31354.0,658.082,263.2388,151.6545,1.7358,0.817372,31759.0,199.8033,0.781317,0.987262,0.909798,0.759019,0.0083957,0.0048368,0.57611,0.74935,DERMASON
63316.0,888.512,319.3162,252.4661,1.2648,0.612273,64133.0,283.9305,0.766008,0.987263,1.007852,0.889183,0.0050432,0.0039874,0.790646,0.877857,BARBUNYA
25685.0,577.644,219.463,149.0138,1.4728,0.734145,25885.0,180.8398,0.814236,0.992287,0.967314,0.82401,0.0085444,0.0058016,0.678993,0.817655,DERMASON
175028.0,1526.505,542.5429,410.7567,1.3208,0.653304,176186.0,472.0732,0.754262,0.993432,0.943892,0.870112,0.0030997,0.0023468,0.757095,0.864397,BOMBAY
31920.0,664.388,255.22,159.242,1.6027,0.781472,32301.0,201.598,0.855633,0.988203,0.908718,0.789899,0.0079956,0.0049888,0.62394,0.78058,DERMASON
48130.0,867.719,377.8414,162.1858,2.3297,0.903189,48691.0,247.549,0.805851,0.988462,0.803274,0.655166,0.0078505,0.0033698,0.429243,0.647607,HOROZ
50995.0,893.18,383.0016,169.5265,2.2592,0.896706,51814.0,254.8115,0.787902,0.984192,0.803268,0.665301,0.0075106,0.0033244,0.442626,0.654784,HOROZ
76014.0,1049.084,408.9571,236.6594,1.728,0.815548,77087.0,311.1005,0.701898,0.986078,0.867923,0.760717,0.0053801,0.0031134,0.57869,0.750126,CALI
81325.0,1077.706,427.7321,242.0825,1.7669,0.824427,82424.0,321.7864,0.813757,0.986673,0.879902,0.752308,0.0052595,0.0029767,0.565968,0.742283,CALI
35262.0,670.885,252.038,178.1344,1.4149,0.707437,35752.0,211.8883,0.764505,0.986294,0.984503,0.8407,0.0071476,0.0050518,0.706776,0.829177,SEKER
35322.0,695.923,278.8062,161.3084,1.7284,0.815634,35729.0,212.0702,0.772303,0.988621,0.916508,0.760637,0.0078932,0.0045668,0.578568,0.751982,DERMASON
62845.0,912.915,352.2294,227.1725,1.5505,0.76422,63440.0,282.8725,0.739329,0.990622,0.94759,0.803092,0.0056047,0.0036148,0.644956,0.79556,CALI
63014.0,925.266,342.0058,234.5921,1.4579,0.727667,63772.0,283.2523,0.722551,0.988113,0.924939,0.828209,0.0054275,0.0037229,0.68593,0.818364,CALI
33527.0,669.639,254.6878,167.6099,1.5195,0.752931,34121.0,206.6112,0.801932,0.982599,0.939562,0.811233,0.0075964,0.0049992,0.658099,0.797117,DERMASON
46392.0,796.161,315.1404,187.4334,1.6813,0.803902,47154.0,243.0387,0.803741,0.983841,0.919705,0.771208,0.006793,0.0040402,0.594762,0.758746,SIRA
26626.0,625.154,257.8026,131.5003,1.9605,0.860126,26900.0,184.1225,0.794187,0.989824,0.856129,0.7142,0.0096824,0.0049388,0.510081,0.706932,DERMASON
53534.0,909.626,377.9553,180.3427,2.0958,0.87882,53965.0,261.0776,0.844981,0.992014,0.813043,0.690763,0.0070601,0.0033688,0.477154,0.685247,HOROZ
34366.0,671.787,246.6702,177.3893,1.3906,0.69487,34656.0,209.1809,0.692354,0.991651,0.956932,0.848019,0.0071777,0.0051617,0.719135,0.840938,SEKER
32726.0,662.613,263.2047,158.3099,1.6626,0.798895,33032.0,204.1272,0.807,0.990734,0.936658,0.775545,0.0080427,0.0048375,0.601471,0.76836,DERMASON
42555.0,736.706,256.5514,211.1955,1.2148,0.567738,43268.0,232.7713,0.798869,0.983523,0.985304,0.907309,0.0060287,0.0049629,0.823209,0.892359,SEKER
170242.0,1495.141,562.0841,385.6342,1.4576,0.727527,171269.0,465.5737,0.756434,0.994004,0.957001,0.828299,0.0033017,0.0022652,0.686079,0.823333,BOMBAY
169817.0,1485.625,568.3813,380.4092,1.4941,0.743006,171833.0,464.9919,0.816936,0.988264,0.96688,0.818099,0.003347,0.0022401,0.669285,0.808497,BOMBAY
77824.0,1064.536,415.5172,238.4698,1.7424,0.818918,79223.0,314.7829,0.825096,0.982336,0.862982,0.757569,0.0053392,0.0030642,0.573911,0.744187,CALI
67533.0,954.802,358.9352,239.558,1.4983,0.744688,67852.0,293.2334,0.789874,0.995295,0.930894,0.816953,0.005315,0.0035473,0.667413,0.81311,BARBUNYA
76871.0,1036.083,384.7456,254.3903,1.5124,0.750218,77662.0,312.8507,0.774345,0.98982,0.899881,0.813136,0.0050051,0.0033093,0.661191,0.804859,BARBUNYA
32037.0,658.9,252.3724,161.6299,1.5614,0.768006,32459.0,201.9677,0.755538,0.986994,0.927309,0.800276,0.0078775,0.0050451,0.640442,0.789868,DERMASON
50544.0,869.037,362.7139,177.4239,2.0443,0.872196,51131.0,253.6812,0.824925,0.98851,0.841006,0.699397,0.0071763,0.0035103,0.489157,0.691361,HOROZ
33130.0,671.488,253.8172,166.1922,1.5273,0.755827,33499.0,205.3837,0.737876,0.988984,0.923327,0.809179,0.0076612,0.0050164,0.654771,0.800265,DERMASON
41888.0,736.356,270.464,197.1915,1.3716,0.684422,42377.0,230.9398,0.722872,0.98846,0.970783,0.853865,0.0064569,0.0047076,0.729086,0.844011,SEKER
35253.0,667.836,244.6188,183.4936,1.3331,0.661301,35629.0,211.8631,0.78191,0.989445,0.993279,0.866095,0.0069389,0.005205,0.75012,0.856953,DERMASON
35008.0,679.804,259.3063,171.8945,1.5085,0.748707,35510.0,211.1239,0.762429,0.98585,0.951936,0.814187,0.0074071,0.0049102,0.662901,0.802667,DERMASON
32448.0,680.631,273.6675,150.9658,1.8128,0.834083,32946.0,203.2595,0.73536,0.984882,0.880194,0.742725,0.008434,0.0046525,0.55164,0.731496,DERMASON
76957.0,1014.608,388.3954,252.2816,1.5395,0.76032,78301.0,313.0256,0.797517,0.982843,0.939427,0.805946,0.0050469,0.0032782,0.649548,0.792118,BARBUNYA
43102.0,737.474,269.1017,203.9354,1.3195,0.652443,43799.0,234.2635,0.739699,0.984085,0.9959,0.870539,0.0062433,0.0047314,0.757838,0.856684,SEKER
53723.0,926.256,391.7446,174.6099,2.2435,0.89517,54087.0,261.5387,0.761727,0.993278,0.786883,0.667626,0.0072919,0.0032502,0.445724,0.663138,HOROZ
29650.0,635.001,243.8986,154.786,1.5757,0.772814,30025.0,194.299,0.729469,0.987512,0.924042,0.796638,0.0082258,0.0052204,0.634633,0.78669,DERMASON
59447.0,932.815,396.7442,190.7773,2.0796,0.876799,60329.0,275.1178,0.682446,0.985373,0.858511,0.693439,0.006674,0.0032092,0.480857,0.683296,HOROZ
36052.0,707.53,251.5644,182.4671,1.3787,0.688402,36375.0,214.2481,0.658997,0.991114,0.90499,0.851663,0.0069779,0.0050613,0.72533,0.844095,DERMASON
35349.0,680.238,256.118,175.7313,1.4574,0.727475,35769.0,212.1508,0.681216,0.988262,0.959991,0.828332,0.0072454,0.0049713,0.686134,0.81861,DERMASON
70859.0,1025.014,418.5898,215.5358,1.9421,0.857245,71738.0,300.3683,0.689665,0.98775,0.847517,0.717572,0.0059073,0.0030417,0.514909,0.708782,CALI
63629.0,951.804,358.8722,225.7488,1.5897,0.777364,64326.0,284.6313,0.781945,0.989163,0.882613,0.793127,0.0056401,0.0035479,0.629051,0.784532,BARBUNYA
72137.0,1034.032,425.7337,215.7388,1.9734,0.862096,72993.0,303.0631,0.712846,0.988274,0.847809,0.711861,0.0059018,0.0029907,0.506746,0.703513,CALI
30328.0,631.244,247.3046,156.1411,1.5839,0.77548,30614.0,196.5055,0.709154,0.990647,0.956434,0.794589,0.0081544,0.0051485,0.631372,0.787157,DERMASON
71655.0,970.005,358.5713,254.438,1.4093,0.704616,72584.0,302.0499,0.720676,0.987197,0.956994,0.842371,0.0050041,0.0035509,0.709588,0.831586,BARBUNYA
40736.0,754.628,289.588,179.1072,1.6168,0.785793,41365.0,227.7439,0.783579,0.984799,0.898934,0.786441,0.0071088,0.0043967,0.61849,0.774487,SIRA
54904.0,931.63,391.5873,178.518,2.1935,0.89004,55448.0,264.3963,0.768119,0.990189,0.794921,0.675191,0.0071323,0.0032515,0.455883,0.668567,HOROZ
41095.0,731.909,253.8291,206.1358,1.2314,0.583512,41952.0,228.7428,0.696125,0.979569,0.964007,0.901169,0.0061767,0.0050161,0.812105,0.882757,SEKER
31086.0,669.88,269.4729,146.8777,1.8347,0.8384,31384.0,198.9461,0.676999,0.990507,0.870517,0.738279,0.0086687,0.0047249,0.545056,0.73127,DERMASON
42133.0,807.313,336.4552,159.4435,2.1102,0.880583,42930.0,231.6152,0.782523,0.981432,0.812362,0.688398,0.0079855,0.0037843,0.473892,0.675616,SIRA
56894.0,964.476,409.3325,176.9705,2.313,0.901711,57888.0,269.1464,0.681405,0.982823,0.768588,0.657525,0.0071946,0.0031105,0.432339,0.646231,HOROZ
31768.0,657.374,235.5369,171.7286,1.3716,0.684414,32201.0,201.1179,0.755013,0.986547,0.923797,0.85387,0.0074143,0.0054057,0.729094,0.842383,SEKER
33111.0,666.317,264.8137,159.2016,1.6634,0.799111,33552.0,205.326,0.787701,0.98686,0.937186,0.77536,0.0079977,0.0048081,0.601183,0.765172,DERMASON
39446.0,757.079,301.7295,166.4539,1.8127,0.834065,39891.0,224.1072,0.603911,0.988839,0.864826,0.742742,0.0076492,0.0042198,0.551666,0.734452,SIRA
42586.0,779.028,308.3693,175.8336,1.7538,0.821503,42959.0,232.8555,0.694923,0.99131,0.881794,0.755119,0.0072412,0.0041289,0.570205,0.748557,SIRA
27411.0,631.825,245.3481,142.2494,1.7248,0.814769,27720.0,186.8171,0.825506,0.988846,0.862858,0.761437,0.0089508,0.0051895,0.579786,0.752944,DERMASON
26330.0,584.113,217.0455,154.458,1.4052,0.702546,26352.0,183.0967,0.743879,0.999165,0.969765,0.843587,0.0082433,0.0058662,0.711639,0.842883,DERMASON
38708.0,722.284,272.1798,181.0721,1.5032,0.746606,39231.0,222.0004,0.800599,0.986664,0.932376,0.815639,0.0070317,0.0046779,0.665267,0.804761,SEKER
75995.0,995.16,356.8505,271.1508,1.3161,0.650105,76966.0,311.0631,0.737836,0.987385,0.964297,0.87169,0.0046957,0.003568,0.759844,0.860694,BARBUNYA
45212.0,782.742,309.224,186.163,1.661,0.798471,45865.0,239.9293,0.725335,0.985765,0.927319,0.775908,0.0068394,0.0041175,0.602033,0.764863,SIRA
30859.0,645.258,247.7783,158.5719,1.5626,0.768396,31020.0,198.2188,0.763405,0.994789,0.931372,0.799984,0.0080294,0.0051386,0.639975,0.795815,DERMASON
34034.0,697.449,266.8993,162.3579,1.6439,0.793699,34497.0,208.1663,0.742219,0.986579,0.879216,0.779943,0.0078422,0.0047705,0.608311,0.769476,DERMASON
34836.0,666.637,232.7291,190.5853,1.2211,0.573915,35209.0,210.6056,0.782682,0.989412,0.985056,0.904939,0.0066807,0.0054709,0.818915,0.895357,SEKER
42409.0,786.576,300.86,179.4763,1.6763,0.80258,42822.0,232.3731,0.766701,0.990373,0.86137,0.772363,0.0070942,0.004232,0.596544,0.764927,SIRA
33634.0,659.545,231.4273,185.0411,1.2507,0.60058,33933.0,206.9386,0.767388,0.991177,0.971613,0.894184,0.0068808,0.0055017,0.799565,0.886294,SEKER
60112.0,946.665,390.7001,195.8968,1.9944,0.865216,60996.0,276.653,0.743857,0.9855,0.842904,0.708096,0.0064995,0.0032589,0.501399,0.697828,HOROZ
40101.0,714.814,275.4056,185.3913,1.4855,0.739499,40879.0,225.9598,0.7707,0.980957,0.986224,0.820462,0.0068678,0.0046231,0.673157,0.804838,SIRA
71991.0,983.048,401.725,228.1699,1.7606,0.823046,73071.0,302.7566,0.792576,0.985212,0.936132,0.753641,0.0055802,0.0031694,0.567975,0.742497,CALI
39335.0,706.687,242.6757,206.3753,1.1759,0.526111,39684.0,223.7907,0.743278,0.991203,0.98976,0.92218,0.0061695,0.0052467,0.850416,0.914068,SEKER
34496.0,675.644,257.4244,170.6178,1.5088,0.748807,34980.0,209.5738,0.745709,0.986144,0.949594,0.814118,0.0074625,0.0049461,0.662788,0.802837,DERMASON
57418.0,970.57,413.1398,176.9544,2.3347,0.903629,58227.0,270.3829,0.778728,0.986111,0.765958,0.654459,0.0071953,0.0030819,0.428316,0.645369,HOROZ
45920.0,825.069,345.9886,168.9855,2.0474,0.872612,46554.0,241.7996,0.816855,0.986386,0.847678,0.698866,0.0075346,0.00368,0.488413,0.689351,HOROZ
44116.0,795.494,327.0656,171.7417,1.9044,0.851041,44683.0,237.0038,0.777084,0.987309,0.876065,0.724637,0.0074137,0.0038929,0.525099,0.715441,SIRA
54533.0,928.192,394.5285,175.9923,2.2417,0.894992,55441.0,263.5033,0.703933,0.983627,0.79542,0.667894,0.0072346,0.0032272,0.446083,0.656959,HOROZ
51282.0,863.2,348.8598,187.1661,1.8639,0.843895,51951.0,255.5283,0.735923,0.987132,0.864878,0.732467,0.0068027,0.0036497,0.536508,0.723042,SIRA
41366.0,744.29,288.0517,182.844,1.5754,0.772709,42019.0,229.4962,0.691039,0.984447,0.938354,0.796719,0.0069635,0.0044202,0.634761,0.784328,SIRA
47516.0,849.378,357.2929,169.3269,2.1101,0.88057,48342.0,245.9661,0.762954,0.98292,0.827653,0.688416,0.0075194,0.0035636,0.473916,0.676658,HOROZ
36801.0,696.43,257.9728,181.6357,1.4203,0.710112,37337.0,216.4649,0.792504,0.985655,0.953498,0.8391,0.0070099,0.0049356,0.704089,0.827063,SEKER
43404.0,802.337,313.2894,176.3982,1.776,0.826422,43877.0,235.0823,0.723942,0.989222,0.847279,0.750368,0.007218,0.0040641,0.563052,0.742281,SIRA
66247.0,929.27,321.5403,262.3274,1.2257,0.578269,67116.0,290.4287,0.818467,0.987055,0.96404,0.903242,0.0048536,0.0039598,0.815846,0.891549,BARBUNYA
57879.0,926.485,382.2442,192.7929,1.9827,0.863487,58481.0,271.4663,0.775028,0.989715,0.847334,0.710191,0.0066042,0.003331,0.504371,0.702886,HOROZ
65629.0,990.635,410.8896,203.3665,2.0204,0.868926,66056.0,289.0695,0.68691,0.993526,0.840383,0.703521,0.0062608,0.0030987,0.494942,0.698967,HOROZ
31511.0,629.593,211.5689,189.6362,1.1157,0.443382,31790.0,200.3026,0.802239,0.991222,0.998971,0.946749,0.0067141,0.0060181,0.896333,0.938438,SEKER
48578.0,803.872,299.3203,206.641,1.4485,0.723459,49176.0,248.7003,0.70241,0.987838,0.944666,0.830884,0.0061616,0.0042538,0.690368,0.820779,SEKER
53022.0,920.272,389.0642,173.5198,2.2422,0.895037,53529.0,259.8275,0.799316,0.990536,0.786752,0.667827,0.0073377,0.0032726,0.445993,0.661507,HOROZ
35054.0,698.875,262.5896,169.9682,1.5449,0.762255,35457.0,211.2626,0.802039,0.988621,0.901874,0.804535,0.007491,0.0048488,0.647277,0.79538,DERMASON
57139.0,922.783,379.1592,191.8768,1.9761,0.862499,58288.0,269.7255,0.744886,0.980286,0.843228,0.711378,0.0066357,0.0033581,0.506059,0.697354,HOROZ
40356.0,720.842,263.6113,194.921,1.3524,0.673238,40756.0,226.679,0.786839,0.990186,0.975983,0.859899,0.0065321,0.00483,0.739426,0.85146,SEKER
41792.0,744.321,267.4122,198.9861,1.3439,0.668049,42530.0,230.6758,0.756793,0.982649,0.947944,0.862622,0.0063986,0.0047613,0.744118,0.847655,SEKER
46198.0,811.604,315.7009,186.3202,1.6944,0.807272,46718.0,242.5314,0.75202,0.988877,0.881347,0.768231,0.0068336,0.0040331,0.59018,0.759686,SIRA
66971.0,958.588,370.1338,230.3755,1.6067,0.78269,68295.0,292.0099,0.766433,0.98061,0.915864,0.788931,0.0055268,0.0034399,0.622411,0.773633,BARBUNYA
33872.0,679.498,276.1372,156.1804,1.7681,0.824687,34062.0,207.6709,0.759591,0.994428,0.921881,0.752057,0.0081524,0.0046109,0.56559,0.747866,DERMASON
66911.0,953.458,351.0163,242.7052,1.4463,0.722438,67553.0,291.8792,0.705362,0.990493,0.924918,0.831526,0.005246,0.0036273,0.691436,0.823621,BARBUNYA
62283.0,1015.019,427.5332,185.4868,2.3049,0.900983,62833.0,281.6057,0.833155,0.991252,0.759687,0.658676,0.0068643,0.0029781,0.433853,0.652914,HOROZ
41729.0,758.338,299.4314,177.4405,1.6875,0.805503,42350.0,230.5022,0.771617,0.985348,0.911853,0.7698,0.0071756,0.0042522,0.592591,0.75852,SIRA
43504.0,794.722,322.5081,171.7527,1.8777,0.846397,44287.0,235.3543,0.774875,0.982326,0.865591,0.729762,0.0074132,0.0039479,0.532553,0.716865,SIRA
35408.0,690.221,260.3266,173.1775,1.5032,0.746637,35837.0,212.3269,0.711611,0.98803,0.933972,0.815617,0.0073522,0.0048909,0.665232,0.805854,DERMASON
33812.0,693.91,267.4886,160.9424,1.662,0.798738,34071.0,207.4856,0.729764,0.992387,0.882408,0.77568,0.0079112,0.00476,0.601679,0.769775,DERMASON
59593.0,932.959,371.7816,204.0878,1.8217,0.835858,60747.0,275.4561,0.701265,0.980995,0.860359,0.740909,0.0062387,0.0034247,0.548946,0.726828,HOROZ
65410.0,928.321,333.8071,249.4922,1.3379,0.664358,66333.0,288.5866,0.759966,0.986084,0.953797,0.864531,0.0051033,0.0038143,0.747414,0.8525,BARBUNYA
46478.0,785.769,288.6966,204.9808,1.4084,0.70418,47421.0,243.2638,0.760667,0.980111,0.945943,0.842628,0.0062115,0.0044103,0.710021,0.825869,SIRA
75299.0,1010.156,384.0899,249.6139,1.5387,0.760033,76185.0,309.6356,0.71302,0.988377,0.927309,0.806154,0.0051008,0.003315,0.649884,0.796784,BARBUNYA
28938.0,637.309,238.2382,154.6571,1.5404,0.760643,29387.0,191.9511,0.77758,0.984718,0.895327,0.805711,0.0082327,0.0053444,0.64917,0.793398,DERMASON
37434.0,705.852,250.2794,190.4389,1.3142,0.648863,37665.0,218.3184,0.764371,0.993878,0.944176,0.872299,0.0066858,0.0050873,0.760905,0.866959,SEKER
31187.0,642.005,235.9969,168.2581,1.4026,0.701197,31433.0,199.2697,0.74216,0.992156,0.950835,0.844374,0.0075672,0.0053952,0.712967,0.83775,DERMASON
58622.0,886.91,338.3931,220.5728,1.5342,0.75837,59564.0,273.2038,0.693662,0.984198,0.936513,0.807356,0.0057724,0.0037626,0.651824,0.794599,CALI
72098.0,1004.021,385.7721,237.9593,1.6212,0.787089,72704.0,302.982,0.807286,0.991666,0.898769,0.785391,0.0053507,0.0033005,0.616839,0.778845,CALI
39326.0,746.229,297.8304,168.1218,1.7715,0.825441,39809.0,223.7673,0.776451,0.987881,0.887461,0.751324,0.0075733,0.004275,0.564488,0.742219,SIRA
